id,title,designer,notes,description,url,img_url,img_id,tags
62176,Organza Gold Collection (10 Years Anniversary Limited Edition) Givenchy for women,"['givenchy', 'perfumes', 'and', 'colognes']","Tuberose, Ylang-Ylang, Jasmine, Honeysuckle, Vanilla, Amber, Sandalwood, Cedar","['Organza', 'Gold', 'Collection', '(10', 'Years', 'Anniversary', 'Limited', 'Edition)', 'by', 'Givenchy', 'is', 'a', 'fragrance', 'for', 'women.', 'Organza', 'Gold', 'Collection', '(10', 'Years', 'Anniversary', 'Limited', 'Edition)', 'was', 'launched', 'in', '2006.', 'The', 'nose', 'behind', 'this', 'fragrance', 'is', 'Sophie', 'Labbe.', 'Top', 'notes', 'are', 'Tuberose', 'and', 'Ylang-Ylang;', 'middle', 'notes', 'are', 'Jasmine', 'and', 'Honeysuckle;', 'base', 'notes', 'are', 'Vanilla,', 'Amber,', 'Sandalwood', 'and', 'Cedar.']",https://www.fragrantica.com/perfume/Givenchy/Organza-Gold-Collection-10-Years-Anniversary-Limited-Edition-40467.html,https://fimgs.net/mdimg/perfume/375x500.40467.jpg,40467,"tuberose ylang-ylang jasmine honeysuckle vanilla amber sandalwood cedar organza gold collection (10 years anniversary limited edition) by givenchy is a fragrance for women. organza gold collection (10 years anniversary limited edition) was launched in 2006. the nose behind this fragrance is sophie labbe. top notes are tuberose and ylang-ylang; middle notes are jasmine and honeysuckle; base notes are vanilla, amber, sandalwood and cedar. givenchy perfumes and colognes"
21253,Idols Oud S''Ram for women and men,"[""s''ram"", 'perfumes', 'and', 'colognes']","Ladyofthenightflower, Pineapple, Fruitynotes, Ylang-Ylang, Jasmine, Whiteflowers, Amylsalicylate, Orangeblossom, Vanilla, Agarwood(Oud), Musk","['Idols', 'Oud', 'by', ""S''Ram"", 'is', 'a', 'Amber', 'Woody', 'fragrance', 'for', 'women', 'and', 'men.', 'Idols', 'Oud', 'was', 'launched', 'in', '2021.', 'Top', 'notes', 'are', 'Lady', 'of', 'the', 'Night', 'Flower,', 'Pineapple,', 'Fruity', 'Notes', 'and', 'Ylang-Ylang;', 'middle', 'notes', 'are', 'Jasmine,', 'White', 'Flowers,', 'Amyl', 'Salicylate', 'and', 'Orange', 'Blossom;', 'base', 'notes', 'are', 'Vanilla,', 'Agarwood', '(Oud)', 'and', 'Musk.']",https://www.fragrantica.com/perfume/S-Ram/Idols-Oud-71090.html,https://fimgs.net/mdimg/perfume/375x500.71090.jpg,71090,"ladyofthenightflower pineapple fruitynotes ylang-ylang jasmine whiteflowers amylsalicylate orangeblossom vanilla agarwood(oud) musk idols oud by s''ram is a amber woody fragrance for women and men. idols oud was launched in 2021. top notes are lady of the night flower, pineapple, fruity notes and ylang-ylang; middle notes are jasmine, white flowers, amyl salicylate and orange blossom; base notes are vanilla, agarwood (oud) and musk. s''ram perfumes and colognes"
6622,Demi-Lune № 6 CIEL Parfum for men,"['ciel', 'parfum', 'perfumes', 'and', 'colognes']","Rosemary, Bergamot, Nutmeg, Whitepepper, Cashmerewood, Oakmoss, Iris","['Demi-Lune', '№', '6', 'by', 'CIEL', 'Parfum', 'is', 'a', 'Woody', 'fragrance', 'for', 'men.', 'Top', 'notes', 'are', 'Rosemary', 'and', 'Bergamot;', 'middle', 'notes', 'are', 'Nutmeg', 'and', 'White', 'Pepper;', 'base', 'notes', 'are', 'Cashmere', 'Wood,', 'Oakmoss', 'and', 'Iris.']",https://www.fragrantica.com/perfume/CIEL-Parfum/Demi-Lune-6-34179.html,https://fimgs.net/mdimg/perfume/375x500.34179.jpg,34179,"rosemary bergamot nutmeg whitepepper cashmerewood oakmoss iris demi-lune № 6 by ciel parfum is a woody fragrance for men. top notes are rosemary and bergamot; middle notes are nutmeg and white pepper; base notes are cashmere wood, oakmoss and iris. ciel parfum perfumes and colognes"
34244,Vibrant Spirit Zara for women,"['zara', 'perfumes', 'and', 'colognes']","Mandarinorange, Ylang-Ylang, Ambroxan","['Vibrant', 'Spirit', 'by', 'Zara', 'is', 'a', 'Amber', 'Floral', 'fragrance', 'for', 'women.', 'Vibrant', 'Spirit', 'was', 'launched', 'in', '2021.', 'Top', 'note', 'is', 'Mandarin', 'Orange;', 'middle', 'note', 'is', 'Ylang-Ylang;', 'base', 'note', 'is', 'Ambroxan.']",https://www.fragrantica.com/perfume/Zara/Vibrant-Spirit-66924.html,https://fimgs.net/mdimg/perfume/375x500.66924.jpg,66924,mandarinorange ylang-ylang ambroxan vibrant spirit by zara is a amber floral fragrance for women. vibrant spirit was launched in 2021. top note is mandarin orange; middle note is ylang-ylang; base note is ambroxan. zara perfumes and colognes
16639,Evoke for Him Ajmal for men,"['ajmal', 'perfumes', 'and', 'colognes']","Lavender, Greenapple, Bergamot, Cardamom, Orris, Heliotrope, Juniper, Sandalwood, Musk, Vetiver","['Evoke', 'for', 'Him', 'by', 'Ajmal', 'is', 'a', 'Aromatic', 'fragrance', 'for', 'men.', 'Top', 'notes', 'are', 'Lavender,', 'Green', 'Apple', 'and', 'Bergamot;', 'middle', 'notes', 'are', 'Cardamom,', 'Orris,', 'Heliotrope', 'and', 'Juniper;', 'base', 'notes', 'are', 'Sandalwood,', 'Musk', 'and', 'Vetiver.']",https://www.fragrantica.com/perfume/Ajmal/Evoke-for-Him-32527.html,https://fimgs.net/mdimg/perfume/375x500.32527.jpg,32527,"lavender greenapple bergamot cardamom orris heliotrope juniper sandalwood musk vetiver evoke for him by ajmal is a aromatic fragrance for men. top notes are lavender, green apple and bergamot; middle notes are cardamom, orris, heliotrope and juniper; base notes are sandalwood, musk and vetiver. ajmal perfumes and colognes"
7366,Emanuel Ungaro Fresh For Her Emanuel Ungaro for women,"['emanuel', 'ungaro', 'perfumes', 'and', 'colognes']","Nashipear, Bergamot, Citron, Jasmine, Peony, Lily-Of-The-Valley, Tonkabean, Patchouli, Sandalwood","['Emanuel', 'Ungaro', 'Fresh', 'For', 'Her', 'by', 'Emanuel', 'Ungaro', 'is', 'a', 'Amber', 'Floral', 'fragrance', 'for', 'women.', 'Emanuel', 'Ungaro', 'Fresh', 'For', 'Her', 'was', 'launched', 'in', '2020.', 'Top', 'notes', 'are', 'Nashi', 'Pear,', 'Bergamot', 'and', 'Citron;', 'middle', 'notes', 'are', 'Jasmine,', 'Peony', 'and', 'Lily-of-the-Valley;', 'base', 'notes', 'are', 'Tonka', 'Bean,', 'Patchouli', 'and', 'Sandalwood.']",https://www.fragrantica.com/perfume/Emanuel-Ungaro/Emanuel-Ungaro-Fresh-For-Her-61860.html,https://fimgs.net/mdimg/perfume/375x500.61860.jpg,61860,"nashipear bergamot citron jasmine peony lily-of-the-valley tonkabean patchouli sandalwood emanuel ungaro fresh for her by emanuel ungaro is a amber floral fragrance for women. emanuel ungaro fresh for her was launched in 2020. top notes are nashi pear, bergamot and citron; middle notes are jasmine, peony and lily-of-the-valley; base notes are tonka bean, patchouli and sandalwood. emanuel ungaro perfumes and colognes"
23044,Shield-Maiden Poesie for women and men,"['poesie', 'perfumes', 'and', 'colognes']","Pinkrose, Pine, Peony, Metallicnotes, Earthynotes, Mountainair","['Shield-Maiden', 'by', 'Poesie', 'is', 'a', 'fragrance', 'for', 'women', 'and', 'men.', 'Shield-Maiden', 'was', 'launched', 'in', '2017.', 'The', 'nose', 'behind', 'this', 'fragrance', 'is', 'Joelle', 'Nealy.']",https://www.fragrantica.com/perfume/Poesie/Shield-Maiden-54249.html,https://fimgs.net/mdimg/perfume/375x500.54249.jpg,54249,pinkrose pine peony metallicnotes earthynotes mountainair shield-maiden by poesie is a fragrance for women and men. shield-maiden was launched in 2017. the nose behind this fragrance is joelle nealy. poesie perfumes and colognes
43790,Louve Prima Materia for women,"['prima', 'materia', 'perfumes', 'and', 'colognes']","Grapefruit, Mandarinorange, Pear, Exoticfruits, Whiteflowers, Tuberose, Musk, Amberwood, Sandalwood","['Louve', 'by', 'Prima', 'Materia', 'is', 'a', 'fragrance', 'for', 'women.', 'Louve', 'was', 'launched', 'in', '2021.', 'The', 'nose', 'behind', 'this', 'fragrance', 'is', 'Gerard', 'Anthony.', 'Top', 'notes', 'are', 'Grapefruit,', 'Mandarin', 'Orange', 'and', 'Pear;', 'middle', 'notes', 'are', 'Exotic', 'Fruits,', 'White', 'Flowers', 'and', 'Tuberose;', 'base', 'notes', 'are', 'Musk,', 'Amberwood', 'and', 'Sandalwood.']",https://www.fragrantica.com/perfume/Prima-Materia/Louve-67475.html,https://fimgs.net/mdimg/perfume/375x500.67475.jpg,67475,"grapefruit mandarinorange pear exoticfruits whiteflowers tuberose musk amberwood sandalwood louve by prima materia is a fragrance for women. louve was launched in 2021. the nose behind this fragrance is gerard anthony. top notes are grapefruit, mandarin orange and pear; middle notes are exotic fruits, white flowers and tuberose; base notes are musk, amberwood and sandalwood. prima materia perfumes and colognes"
49374,Ottoman Empire III Areej Le Doré for women and men,"['areej', 'le', 'doré', 'perfumes', 'and', 'colognes']","Rose, Bulgarianrose, Roseoil, Whiterose, Pepper, Cardamom, Frangipani, Jasmine, Agarwood(Oud), Indianoud, Frangipani, Saffron, Nutmeg, Vetiver, Myrrh, Amber, Sandalwood, Oakmoss","['Ottoman', 'Empire', 'III', 'by', 'Areej', 'Le', 'Doré', 'is', 'a', 'Amber', 'Floral', 'fragrance', 'for', 'women', 'and', 'men.', 'Ottoman', 'Empire', 'III', 'was', 'launched', 'in', '2021.', 'The', 'nose', 'behind', 'this', 'fragrance', 'is', 'Russian', 'Adam.', 'Top', 'notes', 'are', 'Rose,', 'Bulgarian', 'Rose,', 'Rose', 'Oil,', 'White', 'Rose,', 'Pepper,', 'Cardamom,', 'Frangipani', 'and', 'Jasmine;', 'middle', 'notes', 'are', 'Agarwood', '(Oud),', 'Indian', 'Oud,', 'Frangipani,', 'Saffron,', 'Nutmeg', 'and', 'Vetiver;', 'base', 'notes', 'are', 'Myrrh,', 'Amber,', 'Sandalwood', 'and', 'Oakmoss.']",https://www.fragrantica.com/perfume/Areej-Le-Dore/Ottoman-Empire-III-67898.html,https://fimgs.net/mdimg/perfume/375x500.67898.jpg,67898,"rose bulgarianrose roseoil whiterose pepper cardamom frangipani jasmine agarwood(oud) indianoud frangipani saffron nutmeg vetiver myrrh amber sandalwood oakmoss ottoman empire iii by areej le doré is a amber floral fragrance for women and men. ottoman empire iii was launched in 2021. the nose behind this fragrance is russian adam. top notes are rose, bulgarian rose, rose oil, white rose, pepper, cardamom, frangipani and jasmine; middle notes are agarwood (oud), indian oud, frangipani, saffron, nutmeg and vetiver; base notes are myrrh, amber, sandalwood and oakmoss. areej le doré perfumes and colognes"
36315,Bûche de Noël (Рождественское Полено) Odoratika for women,"['odoratika', 'perfumes', 'and', 'colognes']","Amaretto, Chocolate, Vanilla, Coffee, Heliotrope, Cacaopod, Frenchpastries, Sandalwood, Tonkabean, Cinnamon, Amber, Musk","['Bûche', 'de', 'Noël', '(Рождественское', 'Полено)', 'by', 'Odoratika', 'is', 'a', 'Amber', 'Vanilla', 'fragrance', 'for', 'women.', 'Bûche', 'de', 'Noël', '(Рождественское', 'Полено)', 'was', 'launched', 'in', '2018.']",https://www.fragrantica.com/perfume/Odoratika/Buche-de-Noel-Rozdestvenskoe-Poleno-51139.html,https://fimgs.net/mdimg/perfume/375x500.51139.jpg,51139,amaretto chocolate vanilla coffee heliotrope cacaopod frenchpastries sandalwood tonkabean cinnamon amber musk bûche de noël (рождественское полено) by odoratika is a amber vanilla fragrance for women. bûche de noël (рождественское полено) was launched in 2018. odoratika perfumes and colognes
